Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Conseil 1 (product.metafields.custom.conseil_1),Conseil 2 (product.metafields.custom.conseil_2),Conseil 3 (product.metafields.custom.conseil_3),Question FAQ 1 (product.metafields.custom.question_faq_1),Question FAQ 2 (product.metafields.custom.question_faq_2),Question FAQ 3 (product.metafields.custom.question_faq_3),Question FAQ 4 (product.metafields.custom.question_faq_4),Titre Comment jouer (product.metafields.custom.titre_comment_jouer),Titre FAQ (product.metafields.custom.titre_faq),Growave raw rating (product.metafields.growave.raw_rating_string),Growave rounded rating (product.metafields.growave.rounded_rating_string),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Nombre d’évaluations de produit (product.metafields.reviews.rating_count),Restrictions d’âge (product.metafields.shopify.age-restrictions),Caractéristiques du jeu de société (product.metafields.shopify.board-game-features),Mécanique du jeu de société (product.metafields.shopify.board-game-mechanics),Couleur (product.metafields.shopify.color-pattern),Compétences de dextérité (product.metafields.shopify.dexterity-skills),Type d’événement (product.metafields.shopify.event-type),Caractéristiques de jeu (product.metafields.shopify.game-features),Compétences de jeu (product.metafields.shopify.gameplay-skills),Rareté (product.metafields.shopify.rarity),Tranche d’âge recommandée (product.metafields.shopify.recommended-age-group),Thème (product.metafields.shopify.theme),Matériau du jeu/jouet (product.metafields.shopify.toy-game-material),Emballage de cartes à collectionner (product.metafields.shopify.trading-card-packaging),Produits complémentaires (product.metafields.shopify--discovery--product_recommendation.complementary_products),Produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products),Paramètres des produits connexes (product.metafields.shopify--discovery--product_recommendation.related_products_display),Mises en avant de produits dans la recherche (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
wispwood,Wispwood,"<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">15 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">8 ans et +</td>
</tr>
</tbody>
</table>
<p><meta charset=""UTF-8"">Kingdomino est un jeu de stratégie familial primé, où vous incarnez un seigneur en quête de terres fertiles pour bâtir le royaume le plus prestigieux<span>. </span></p>
<p><span>Inspiré des dominos traditionnels mais enrichi d’une profondeur stratégique accessible, ce jeu combine placement de tuiles, anticipation et prise de décision intelligente. Rapide à apprendre et à jouer (15–20 minutes), Kingdomino est parfait pour jouer en famille ou entre amis.</span></p>
<p><span><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/jnM9yf65rpo?si=bY3ZIyw6CydzNPBq"" title=""YouTube video player""></iframe></span></p>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,,615.0,shopify,0,deny,manual,19.90,,true,true,,,,,,,,,false,Kingdomino : stratégie familiale rapide et fun,"Kingdomino – jeu de pose de dominos stratégique 2-4 joueurs. Construisez un royaume, connectez terrains et couronnes pour gagner !",,,,,,,,,,,,Visez des combinaisons larges de terrains,Planifiez vos choix futurs,Équilibrez variété et cohérence,À quel âge est recommandé ce jeu ?,Que signifient les couronnes sur les dominos ?,Que se passe-t-il si je ne peux pas placer un domino ?,Kingdomino est-il un bon jeu pour découvrir les jeux modernes ?,Comment jouer au jeu ? ,FAQ – Tout savoir sur Kingdomino,,,,,,,strategie; construction-de-terrasse,multicolore,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
cup-the-crab,Cup The Crab,"<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 3 à 5 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">15 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">8 ans et +</td>
</tr>
</tbody>
</table>
<p>Dans <strong data-start=""39"" data-end=""55"">Cup the Crab</strong>, les bernard-l’ermite parcourent la plage pour construire leur maison à partir de gobelets abandonnés. Ce <strong data-start=""162"" data-end=""188""><a href=""https://shop.loufoque.fr/collections/jeux-de-cartes"">jeu de cartes</a> et piles</strong> mélange gestion de main, timing et coups tactiques pour récupérer les meilleures piles de gobelets. Les joueurs collaborent pour créer des piles communes… mais la compétition reste intense lorsqu’il faut les récupérer au bon moment. Rapide, malin et plein de rebondissements, Cup the Crab propose des parties dynamiques où bluff et opportunisme font toute la différence.</p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3701358301838,400.0,shopify,2,deny,manual,11.90,,true,true,,,,,'3701358301838,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/cup-the-crab_07e9211b-f0bc-43fa-9a2e-11b8e6bf1772.webp?v=1772880203,1,jeu de cartes cup the crab,false,Cartes et piles Cup the Crab – Jeu tactique rapide,"Découvrez Cup the Crab, un jeu de cartes et piles malin où timing et stratégie permettent de récupérer les meilleures piles de gobelets. Parties rapides et fun.",,,,,,,,,,,,Bien choisir ses trois cartes à chaque manche,Savoir attendre le bon moment pour prendre une pile,Utiliser les bouteilles pour perturber les plans adverses,Pourquoi les piles de gobelets sont-elles centrales dans le jeu ?,Les piles peuvent-elles être modifiées pendant la partie ?,Les cartes Poulpe ont-elles un rôle particulier ?,Peut-on bluffer dans Cup the Crab ?,Comment jouer à Cup The Crab ?,FAQ – Tout savoir sur Cup the Crab,,,,,,extension-disponible,strategie,rouge; multicolore,,,,,,10-ans-ou-plus,,papier-carton,,,,,,,kg,,,active
cup-the-crab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/cup-the-crab_2_41199ed8-0eae-4c75-9504-10d8f793f598.webp?v=1772880203,2,jeu de société ambiance cup the crab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cup-the-crab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/cup-the-crab_1_a853bc59-ad7b-47c3-9950-91a2ed59c68b.webp?v=1772880203,3,jeu cup the crab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eternal-decks,Eternal Decks,"<table width=""100%"" style=""height: 19.6px; width: 100.035%;"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">30 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">10 ans et +</td>
</tr>
</tbody>
</table>
<p data-start=""71"" data-end=""101""><!----></p>
<p data-start=""71"" data-end=""101"">Plongez dans <strong data-end=""74"" data-start=""57"">Eternal Decks</strong>, un jeu de <strong data-end=""114"" data-start=""86"">deck building <a href=""https://shop.loufoque.fr/collections/jeux-societe-cooperatifs"">coopératif</a></strong> où les joueurs unissent leurs forces pour résoudre des défis toujours plus complexes. Dans cet univers fantastique, l’humanité sombre dans un sommeil mystérieux et seule une expédition dans le monde des Éternels peut apporter une solution. Votre mission : construire votre deck, coopérer intelligemment et atteindre les objectifs de chaque niveau avant que l’équipe ne soit bloquée. Accessible mais stratégique, ce jeu propose une expérience coopérative intense et hautement rejouable.</p>
<p data-start=""71"" data-end=""101""><iframe title=""YouTube video player"" src=""https://www.youtube.com/embed/_Q4YFCgS8kI?si=HUdDZ_i-GepHyb1R"" height=""315"" width=""560""></iframe></p>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3701358301708,1600.0,shopify,6,deny,manual,26.90,,true,true,,,,,'3701358301708,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/eternal-decks.jpg?v=1772879095,1,jeu de société eternal decks,false,Deck building coopératif Eternal Decks – Jeu stratégique,"Découvrez Eternal Decks, un deck building coopératif stratégique où les joueurs unissent leurs forces pour réussir chaque niveau. Rejouable et immersif.",,,,,,,,,,,,Anticiper les contraintes des rangées,Construire un deck équilibré,Utiliser les joyaux au bon moment,Qu’est-ce qui rend Eternal Decks différent des autres jeux de deck building ?,Le jeu propose-t-il plusieurs niveaux de difficulté ?,Peut-on jouer en solo ?,Le jeu possède-t-il une bonne rejouabilité ?,Comment jouer à Eternal Decks ?,FAQ – Tout savoir sur Eternal Decks,,,,,,,strategie,multicolore,,,,prise-de-decision-tactique; reflexion-strategique,,14-ans-ou-plus,fantaisie; science-fiction,papier-carton,,,,,,,kg,,,active
eternal-decks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/eternal-decks_1.jpg?v=1772879095,2,jeu de plateau coopératif eternal decks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apex-legends-le-jeu-de-plateau-extension-board-1,Apex Legends - le jeu de plateau - Extension board 1,"<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 6 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">60 à 90 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">14 ans et +</td>
</tr>
</tbody>
</table>
<p>Cette extension ajoute de nouvelles tuiles de carte pour Apex Legends : Le Jeu de Plateau, inspirées du paysage industriel de Kings Canyon. Elle introduit de nouveaux bâtiments et éléments de terrain, notamment des clôtures servant d’obstacles infranchissables. Ce nouveau plateau peut être connecté au plateau de base grâce à des tuiles de jonction, élargissant ainsi la zone de combat potentielle.  L’extension apporte également un nouveau mode de jeu, Point de Contrôle, ainsi que de nouvelles cartes prédéfinies.</p>
<p><br></p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3701358301487,2400.0,shopify,1,deny,manual,49.90,,true,true,,,,,'3701358301487,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/apex-legends-le-jeu-de-plateau-extension-plateau_1_dcace55f-caa2-4f21-bd68-b6bc4fcdea1b.webp?v=1772818209,1,"",false,,"Cette extension ajoute de nouvelles tuiles de carte pour Apex Legends : Le Jeu de Plateau, inspirées du paysage industriel de Kings Canyon. ",,,,,,,,,,,,Construire une escouade complémentaire,Contrôler les positions stratégiques du plateau,Anticiper la fermeture de la zone,En quoi le jeu de plateau est-il fidèle au jeu vidéo ?,Chaque Légende possède-t-elle un style de jeu différent ?,Le terrain influence-t-il réellement la stratégie ?,Les parties offrent-elles une bonne rejouabilité ?,Comment jouer au jeu Apex Legends – Le Jeu de Plateau ?,FAQ – Tout savoir sur Apex Legends – Le Jeu de Plateau,,,,,,,strategie; cooperative,multicolore,,,,prise-de-decision-tactique; reflexion-strategique,,adultes; 14-ans-ou-plus,science-fiction,papier-carton,,,,,,,kg,,,active
apex-legends-le-jeu-de-plateau,Apex Legends - le jeu de plateau,"<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 1 à 6 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">60 à 90 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">14 ans et +</td>
</tr>
</tbody>
</table>
<p data-start=""36"" data-end=""618"">Plongez dans l’arène avec <strong data-start=""62"" data-end=""98"">Apex Legends – Le Jeu de Plateau</strong>, une adaptation stratégique du célèbre jeu vidéo de battle royale. Dans ce jeu de figurines intense, les joueurs incarnent des <strong data-start=""226"" data-end=""260"">Légendes aux capacités uniques</strong> qui s’affrontent en équipes sur un champ de bataille tactique. Positionnement, coopération et gestion du butin seront essentiels pour survivre jusqu’au combat final. Chaque partie recrée la tension des affrontements d’Apex Legends avec des décisions tactiques cruciales et des retournements de situation spectaculaires. <span class="""" data-state=""closed""></span></p>
<p data-start=""620"" data-end=""821"">Grâce à ses figurines détaillées, son plateau modulable en 3D et ses nombreux équipements à récupérer, ce jeu propose une expérience immersive où chaque action peut changer le destin de votre escouade.</p>",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'3701358301319,5000.0,shopify,1,deny,manual,99.90,,true,true,,,,,'3701358301319,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/apex-legends-le-jeu-de-plateau_1b29877b-e907-4497-ac3e-6759e3e48150.webp?v=1772816639,1,jeu de société Apex legends,false,Apex Legends – Jeu de plateau tactique,"Apex Legends jeu de plateau : affrontez-vous en équipes avec des Légendes uniques, récupérez du butin et dominez l’arène dans ce jeu tactique immersif.",,,,,,,,,,,,Construire une escouade complémentaire,Contrôler les positions stratégiques du plateau,Anticiper la fermeture de la zone,En quoi le jeu de plateau est-il fidèle au jeu vidéo ?,Chaque Légende possède-t-elle un style de jeu différent ?,Le terrain influence-t-il réellement la stratégie ?,Les parties offrent-elles une bonne rejouabilité ?,Comment jouer au jeu Apex Legends – Le Jeu de Plateau ?,FAQ – Tout savoir sur Apex Legends – Le Jeu de Plateau,,,,,,,strategie; cooperative,multicolore,,,,prise-de-decision-tactique; reflexion-strategique,,adultes; 14-ans-ou-plus,science-fiction,papier-carton; plastique,,,,,,,kg,,,active
apex-legends-le-jeu-de-plateau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/apex-legends-le-jeu-de-plateau_1_52d4a4e3-2b03-4aea-b1c6-9492ed8809e4.webp?v=1772816639,2,jeu de plateau apex legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrabble-classique-2-en-1-en-bois,Scrabble Classique 2 en 1 en bois,"<p>Découvrez une nouvelle façon de jouer avec <strong data-start=""43"" data-end=""79"">Scrabble Classique – 2 Jeux en 1</strong>, une édition qui combine le jeu de lettres emblématique et une variante coopérative accessible à tous. Que vous soyez un amateur de longue date ou un joueur occasionnel, cette version vous permet de profiter du Scrabble traditionnel ou d’essayer une expérience de jeu plus rapide et collaborative.</p>
<p>Dans cette variante, les participants peuvent jouer en équipe et tentent d’accomplir des objectifs représentés par des cartes. Chaque carte propose un défi, par exemple créer un mot de cinq lettres ou utiliser certaines lettres. Une fois le défi réussi, la carte est remportée et rapporte un point à l’équipe.</p>
<p><br></p>
<table style=""height: 19.6px; width: 100.035%;"" width=""100%"">
<tbody>
<tr style=""height: 19.6px;"">
<td style=""height: 19.6px; width: 30.704%; text-align: center;""> 2 à 4 joueurs</td>
<td style=""width: 42.1288%; text-align: center; height: 19.6px;"">60 min</td>
<td style=""width: 26.5982%; height: 19.6px; text-align: center;"">8 ans et +</td>
</tr>
</tbody>
</table>
<!---->",Boutique Loufoque,Toys & Games > Games > Board Games,"","",true,Title,Default Title,,,,,,,,'194735320981,800.0,shopify,1,deny,manual,39.90,,true,true,,,,,'194735320981,https://cdn.shopify.com/s/files/1/0869/5998/0869/files/scrabble-en-bois.webp?v=1772815359,1,"",false,,,1246,,,,,,,,,,,,,,,,,,,,,,,,,installation-rapide,famille; quiz-et-culture-generale; questions; cooperative,multicolore; vert; bleu,,,,,,8-ans-ou-plus,,papier-carton; bois,,,,,,,kg,,,active
